Obs;YearMonth;Sweetwhite;MMC(12);comp.sais;comp.sais.corr;I0
1;1980-01;85;;;;0,859427541
2;1980-02;89;;;;0,810978947
3;1980-03;109;;;;0,935067684
4;1980-04;95;;;;0,85759467
5;1980-05;91;;;;0,8186759
6;1980-06;95;;;;0,77322505
7;1980-07;96;114,4583333;0,838733163;1,034737915;1,034737915
8;1980-08;128;118,9583333;1,076007005;1,117070361;1,117070361
9;1980-09;124;122,6666667;1,010869565;1,05643484;1,05643484
10;1980-10;111;126,125;0,880079286;1,013671606;1,013671606
11;1980-11;178;127,6666667;1,394255875;1,236438833;1,236438833
12;1980-12;140;127,625;1,096963761;1,486676653;1,486676653
13;1981-01;150;128,125;1,170731707;0,859427541;
14;1981-02;132;129,7916667;1,017014446;0,810978947;
15;1981-03;155;130,875;1,184336199;0,935067684;
16;1981-04;132;131,625;1,002849003;0,85759467;
17;1981-05;91;131,25;0,693333333;0,8186759;
18;1981-06;94;131,0416667;0,717329094;0,77322505;
19;1981-07;109;129,9583333;0,838730362;1,034737915;
20;1981-08;155;127,5416667;1,215289121;1,117070361;
21;1981-09;123;126;0,976190476;1,05643484;
22;1981-10;130;124;1,048387097;1,013671606;
23;1981-11;150;123,875;1,210898083;1,236438833;
24;1981-12;163;125,5;1,298804781;1,486676653;
25;1982-01;101;128,25;0,787524366;0,859427541;
26;1982-02;123;130,4166667;0,94313099;0,810978947;
27;1982-03;127;130,9583333;0,969774101;0,935067684;
28;1982-04;112;131,6666667;0,850632911;0,85759467;
29;1982-05;108;133;0,812030075;0,8186759;
30;1982-06;116;135,9583333;0,853202574;0,77322505;
31;1982-07;153;139,4583333;1,097101882;1,034737915;
32;1982-08;163;140,7916667;1,157738976;1,117070361;
33;1982-09;128;141,375;0,905393457;1,05643484;
34;1982-10;142;143,8333333;0,987253766;1,013671606;
35;1982-11;170;147,2083333;1,154825927;1,236438833;
36;1982-12;214;150,9583333;1,417609716;1,486676653;
37;1983-01;134;152,375;0,879409352;0,859427541;
38;1983-02;122;151,6666667;0,804395604;0,810978947;
39;1983-03;142;152,9166667;0,928610354;0,935067684;
40;1983-04;156;152,7916667;1,020998091;0,85759467;
41;1983-05;145;151,2916667;0,95841366;0,8186759;
42;1983-06;169;150,375;1,123857024;0,77322505;
43;1983-07;134;149,25;0,897822446;1,034737915;
44;1983-08;165;148,9166667;1,108002238;1,117070361;
45;1983-09;156;148,875;1,047858942;1,05643484;
46;1983-10;111;147,9583333;0,750211208;1,013671606;
47;1983-11;165;146,4166667;1,126920888;1,236438833;
48;1983-12;197;144,2083333;1,366079168;1,486676653;
49;1984-01;124;142,8333333;0,868144691;0,859427541;
50;1984-02;124;143,1666667;0,866123399;0,810978947;
51;1984-03;139;141,5833333;0,981753973;0,935067684;
52;1984-04;137;139,7083333;0,980614375;0,85759467;
53;1984-05;127;138,9166667;0,914217157;0,8186759;
54;1984-06;134;138,125;0,970135747;0,77322505;
55;1984-07;136;137,5833333;0,988491823;1,034737915;
56;1984-08;171;136,8333333;1,249695493;1,117070361;
57;1984-09;112;136;0,823529412;1,05643484;
58;1984-10;110;134,7916667;0,816074189;1,013671606;
59;1984-11;147;133,875;1,098039216;1,236438833;
60;1984-12;196;132,9166667;1,47460815;1,486676653;
61;1985-01;112;138,2916667;0,809882495;0,859427541;
62;1985-02;118;151,5416667;0,778663734;0,810978947;
63;1985-03;125;169,3333333;0,738188976;0,935067684;
64;1985-04;122;190,4166667;0,640700219;0,85759467;
65;1985-05;120;218,9583333;0,548049477;0,8186759;
66;1985-06;118;250,625;0,470822943;0,77322505;
67;1985-07;281;274,0833333;1,025235634;1,034737915;
68;1985-08;344;289,25;1,189282627;1,117070361;
69;1985-09;366;297,5833333;1,229907589;1,05643484;
70;1985-10;362;308,25;1,174371452;1,013671606;
71;1985-11;580;322,5416667;1,798217285;1,236438833;
72;1985-12;523;335,9166667;1,556933763;1,486676653;
73;1986-01;348;345,875;1,006143838;0,859427541;
74;1986-02;246;352,7083333;0,69746013;0,810978947;
75;1986-03;197;359,75;0,547602502;0,935067684;
76;1986-04;306;366,125;0,83578013;0,85759467;
77;1986-05;279;365,9166667;0,762468686;0,8186759;
78;1986-06;280;365,0833333;0,766948185;0,77322505;
79;1986-07;358;368,9166667;0,970408855;1,034737915;
80;1986-08;431;374,125;1,152021383;1,117070361;
81;1986-09;448;382,9583333;1,169840061;1,05643484;
82;1986-10;433;396;1,093434343;1,013671606;
83;1986-11;504;410,9583333;1,226401703;1,236438833;
84;1986-12;579;422,0416667;1,371902458;1,486676653;
85;1987-01;384;432,9583333;0,886921374;0,859427541;
86;1987-02;335;441,375;0,758991787;0,810978947;
87;1987-03;320;442,0833333;0,723845429;0,935067684;
88;1987-04;496;444,875;1,114919921;0,85759467;
89;1987-05;448;448,0416667;0,999907003;0,8186759;
90;1987-06;377;451,0416667;0,835842956;0,77322505;
91;1987-07;523;451,1666667;1,159216845;1,034737915;
92;1987-08;468;446,7083333;1,047663464;1,117070361;
93;1987-09;428;445,2916667;0,961167774;1,05643484;
94;1987-10;520;438;1,187214612;1,013671606;
95;1987-11;493;427,0833333;1,154341463;1,236438833;
96;1987-12;662;421,5416667;1,570426016;1,486676653;
97;1988-01;304;418,25;0,726838016;0,859427541;
98;1988-02;308;411,875;0,747799697;0,810978947;
99;1988-03;313;407,625;0,767862619;0,935067684;
100;1988-04;328;398,5;0,823086575;0,85759467;
101;1988-05;354;383,0416667;0,924181442;0,8186759;
102;1988-06;338;368,5;0,917232022;0,77322505;
103;1988-07;483;359,9166667;1,34197731;1,034737915;
104;1988-08;355;359,7916667;0,986682108;1,117070361;
105;1988-09;439;360,875;1,216487703;1,05643484;
106;1988-10;290;359,0833333;0,807611975;1,013671606;
107;1988-11;352;354,125;0,993999294;1,236438833;
108;1988-12;454;351,0833333;1,29314028;1,486676653;
109;1989-01;306;345,5833333;0,885459368;0,859427541;
110;1989-02;303;338,7083333;0,894574978;0,810978947;
111;1989-03;344;332,7083333;1,033938635;0,935067684;
112;1989-04;254;330,4166667;0,768726356;0,85759467;
113;1989-05;309;333,7916667;0,925727125;0,8186759;
114;1989-06;310;339,7916667;0,912323728;0,77322505;
115;1989-07;379;342;1,108187135;1,034737915;
116;1989-08;294;337,9166667;0,870036991;1,117070361;
117;1989-09;356;332,4583333;1,070810879;1,05643484;
118;1989-10;318;330,2916667;0,962785417;1,013671606;
119;1989-11;405;328,0416667;1,234599263;1,236438833;
120;1989-12;545;321,3333333;1,696058091;1,486676653;
121;1990-01;268;314,4583333;0,852259176;0,859427541;
122;1990-02;243;310,875;0,781664656;0,810978947;
123;1990-03;273;308,5416667;0,884807562;0,935067684;
124;1990-04;273;306,75;0,88997555;0,85759467;
125;1990-05;236;305,125;0,773453503;0,8186759;
126;1990-06;222;300,25;0,739383847;0,77322505;
127;1990-07;302;294,25;1,026338148;1,034737915;
128;1990-08;285;291,75;0,976863753;1,117070361;
129;1990-09;309;288;1,072916667;1,05643484;
130;1990-10;322;280,2083333;1,149144981;1,013671606;
131;1990-11;362;274,4583333;1,318961591;1,236438833;
132;1990-12;471;267,4583333;1,761021966;1,486676653;
133;1991-01;198;259,5;0,76300578;0,859427541;
134;1991-02;253;253,4583333;0,998191682;0,810978947;
135;1991-03;173;245,5;0,704684318;0,935067684;
136;1991-04;186;238,3333333;0,78041958;0,85759467;
137;1991-05;185;232,625;0,795271359;0,8186759;
138;1991-06;105;225,2083333;0,466234968;0,77322505;
139;1991-07;228;220,7916667;1,032647669;1,034737915;
140;1991-08;214;217,2916667;0,98485139;1,117070361;
141;1991-09;189;217,875;0,86746988;1,05643484;
142;1991-10;270;221,125;1,22102883;1,013671606;
143;1991-11;277;221,3333333;1,251506024;1,236438833;
144;1991-12;378;224,4583333;1,684054205;1,486676653;
145;1992-01;185;228;0,811403509;0,859427541;
146;1992-02;182;228,7916667;0,795483518;0,810978947;
147;1992-03;258;231,625;1,113869401;0,935067684;
148;1992-04;179;233,0833333;0,767965678;0,85759467;
149;1992-05;197;232,75;0,846401719;0,8186759;
150;1992-06;168;232,625;0,72219237;0,77322505;
151;1992-07;250;232,0833333;1,077199282;1,034737915;
152;1992-08;211;234,2916667;0,900586875;1,117070361;
153;1992-09;260;234,4583333;1,108939044;1,05643484;
154;1992-10;234;235,7916667;0,992401484;1,013671606;
155;1992-11;305;237,9166667;1,281961471;1,236438833;
156;1992-12;347;237,7083333;1,45977213;1,486676653;
157;1993-01;203;238,0833333;0,852642632;0,859427541;
158;1993-02;217;242,6666667;0,894230769;0,810978947;
159;1993-03;227;244,75;0,927477017;0,935067684;
160;1993-04;242;243,1666667;0,995202193;0,85759467;
161;1993-05;185;245,2916667;0,754204179;0,8186759;
162;1993-06;175;250,0833333;0,699766744;0,77322505;
163;1993-07;252;251,375;1,002486325;1,034737915;
164;1993-08;319;251,7916667;1,266920404;1,117070361;
165;1993-09;202;252,75;0,799208704;1,05643484;
166;1993-10;254;252,625;1,00544285;1,013671606;
167;1993-11;336;254,5;1,320235756;1,236438833;
168;1993-12;431;257;1,677042802;1,486676653;
169;1994-01;150;258,0416667;0,581301469;0,859427541;
170;1994-02;280;;;;
171;1994-03;187;;;;
172;1994-04;279;;;;
173;1994-05;193;;;;
174;1994-06;227;;;;
175;1994-07;225;;;;
176;1994-08;205;;;;
177;1994-09;259;;;;
178;1994-10;254;;;;
179;1994-11;275;;;;
180;1994-12;394;;;;
181;1995-01;159;;;;
182;1995-02;230;;;;
183;1995-03;188;;;;
184;1995-04;195;;;;
185;1995-05;189;;;;
186;1995-06;220;;;;
187;1995-07;274;;;;
